Protocol,IP,Size,Target
UDP,239.255.255.250,369,1
UDP,239.255.255.250,378,1
UDP,239.255.255.250,378,1
UDP,239.255.255.250,433,1
UDP,239.255.255.250,433,1
UDP,239.255.255.250,443,1
UDP,10.1.27.255,636,1
UDP,239.255.255.250,443,1
TCP,173.194.76.125,84,1
TCP,10.1.27.29,60,1
UDP,10.1.27.255,636,1
UDP,224.0.0.251,112,1
UDP,ff02::fb,132,1
UDP,10.1.27.255,636,1
UDP,10.1.27.255,636,1
UDP,10.1.27.255,636,1
None,224.0.0.251,60,1
UDP,10.1.27.255,636,1
TCP,10.1.27.29,141,1
TCP,162.254.197.41,54,1
UDP,224.0.0.251,112,1
UDP,ff02::fb,132,1
TCP,162.254.197.41,141,1
TCP,10.1.27.29,60,1
TCP,10.1.27.29,479,1
TCP,10.1.27.29,60,1
TCP,10.1.27.254,42,1
TCP,162.254.197.41,54,1
TCP,162.254.197.41,162,1
TCP,10.1.27.29,60,1
TCP,10.1.27.29,348,1
UDP,8.8.8.8,95,1
TCP,162.254.197.41,54,1
UDP,10.1.27.29,220,1
TCP,31.205.250.224,66,1
TCP,31.205.250.224,66,1
TCP,31.205.250.224,66,1
TCP,31.205.250.224,66,1
TCP,10.1.27.29,66,1
TCP,10.1.27.29,66,1
TCP,10.1.27.29,66,1
TCP,10.1.27.29,66,1
TCP,31.205.250.224,54,1
TCP,31.205.250.224,54,1
TCP,31.205.250.224,54,1
TCP,31.205.250.224,54,1
TCP,31.205.250.224,331,1
TCP,31.205.250.224,331,1
TCP,31.205.250.224,331,1
TCP,31.205.250.224,331,1
TCP,10.1.27.29,60,1
TCP,10.1.27.29,60,1
TCP,10.1.27.29,60,1
TCP,10.1.27.29,60,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1255,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,429,1
TCP,31.205.250.224,54,1
TCP,31.205.250.224,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,165,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1090,1
TCP,31.205.250.224,54,1
TCP,31.205.250.224,54,1
UDP,224.0.0.251,263,1
UDP,8.8.8.8,87,1
UDP,224.0.0.251,135,1
UDP,ff02::fb,155,1
UDP,10.1.27.29,135,1
UDP,224.0.0.251,159,1
UDP,ff02::fb,179,1
UDP,10.1.27.255,636,1
None,224.0.0.251,60,1
UDP,224.0.0.251,159,1
UDP,ff02::fb,179,1
UDP,10.1.27.255,636,1
TCP,93.184.221.200,54,1
TCP,10.1.27.29,60,1
TCP,93.184.221.200,54,1
UDP,10.1.27.255,636,1
UDP,224.0.0.251,251,1
UDP,224.0.0.251,112,1
UDP,ff02::fb,132,1
None,224.0.0.251,60,1
UDP,10.1.27.255,636,1
UDP,10.1.27.255,636,1
TCP,40.77.226.250,54,1
TCP,10.1.27.29,60,1
TCP,40.77.226.250,54,1
UDP,10.1.27.255,636,1
UDP,224.0.0.251,251,1
UDP,224.0.0.251,112,1
UDP,ff02::fb,132,1
UDP,10.1.27.255,636,1
UDP,10.1.27.255,636,1
UDP,10.1.27.255,636,1
TCP,104.244.42.193,100,1
TCP,10.1.27.29,60,1
TCP,10.1.27.29,100,1
UDP,10.1.27.255,636,1
TCP,104.244.42.193,54,1
UDP,224.0.0.251,135,1
UDP,ff02::fb,155,1
UDP,224.0.0.251,112,1
UDP,ff02::fb,132,1
UDP,10.1.27.255,636,1
UDP,10.1.27.255,636,1
None,224.0.0.251,60,1
UDP,224.0.0.251,112,1
UDP,ff02::fb,132,1
TCP,162.254.197.41,117,1
TCP,10.1.27.29,60,1
UDP,10.1.27.255,636,1
UDP,10.1.27.255,636,1
UDP,10.1.27.255,636,1
UDP,10.1.27.37,60,1
UDP,10.1.27.255,636,1
UDP,8.8.8.8,77,1
UDP,10.1.27.29,140,1
UDP,8.8.8.8,96,1
TCP,23.111.8.144,66,1
TCP,23.111.8.144,66,1
TCP,10.1.27.29,66,1
TCP,23.111.8.144,54,1
TCP,23.111.8.144,280,1
TCP,10.1.27.29,66,1
TCP,23.111.8.144,54,1
TCP,10.1.27.29,60,1
TCP,23.111.8.144,280,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,327,1
UDP,10.1.27.29,112,1
TCP,23.111.8.144,54,1
UDP,8.8.8.8,96,1
TCP,23.111.8.144,180,1
TCP,23.111.8.144,465,1
TCP,10.1.27.29,60,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,327,1
TCP,23.111.8.144,54,1
TCP,23.111.8.144,180,1
TCP,23.111.8.144,460,1
TCP,10.1.27.29,312,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,23.111.8.144,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,23.111.8.144,54,1
UDP,10.1.27.29,161,1
TCP,10.1.27.29,312,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,23.111.8.144,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,23.111.8.144,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,23.111.8.144,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,23.111.8.144,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,23.111.8.144,54,1
TCP,10.1.27.29,1456,1
TCP,23.111.8.144,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,23.111.8.144,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,23.111.8.144,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,23.111.8.144,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,23.111.8.144,54,1
TCP,10.1.27.29,638,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,23.111.8.144,54,1
TCP,10.1.27.29,872,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,23.111.8.144,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,23.111.8.144,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,23.111.8.144,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,23.111.8.144,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,23.111.8.144,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,23.111.8.144,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,23.111.8.144,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,23.111.8.144,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,23.111.8.144,54,1
TCP,23.111.8.144,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,701,1
TCP,23.111.8.144,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,331,1
TCP,23.111.8.144,54,1
UDP,224.0.0.251,135,1
UDP,ff02::fb,155,1
TCP,162.254.197.41,137,1
TCP,10.1.27.29,60,1
TCP,10.1.27.29,148,1
TCP,162.254.197.41,54,1
TCP,10.1.27.37,60,1
UDP,8.8.8.8,85,1
UDP,10.1.27.29,147,1
UDP,23.111.8.144,92,1
UDP,8.8.8.8,71,1
UDP,10.1.27.29,368,1
UDP,8.8.8.8,90,1
TCP,216.58.204.86,66,1
TCP,10.1.27.29,66,1
TCP,216.58.204.86,54,1
TCP,216.58.204.86,242,1
UDP,10.1.27.29,346,1
TCP,10.1.27.29,60,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1382,1
TCP,216.58.204.86,54,1
TCP,216.58.204.86,147,1
TCP,216.58.204.86,231,1
TCP,216.58.204.86,328,1
TCP,10.1.27.29,284,1
TCP,10.1.27.29,123,1
TCP,216.58.204.86,54,1
TCP,216.58.204.86,92,1
TCP,10.1.27.29,60,1
TCP,10.1.27.29,92,1
TCP,10.1.27.29,394,1
TCP,10.1.27.29,1456,1
TCP,216.58.204.86,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,216.58.204.86,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,216.58.204.86,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,216.58.204.86,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,216.58.204.86,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,216.58.204.86,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,216.58.204.86,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,216.58.204.86,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,216.58.204.86,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,216.58.204.86,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,216.58.204.86,54,1
TCP,10.1.27.29,404,1
TCP,216.58.204.86,100,1
TCP,10.1.27.29,60,1
UDP,224.0.0.251,135,1
UDP,ff02::fb,155,1
TCP,162.254.197.41,138,1
TCP,10.1.27.29,60,1
UDP,224.0.0.251,112,1
UDP,ff02::fb,132,1
TCP,10.1.27.29,148,1
TCP,162.254.197.41,54,1
TCP,10.1.27.37,60,1
TCP,162.254.197.41,138,1
TCP,10.1.27.29,60,1
UDP,8.8.8.8,91,1
UDP,8.8.8.8,81,1
UDP,10.1.27.29,202,1
UDP,10.1.27.29,130,1
TCP,23.96.208.208,66,1
TCP,13.107.3.128,66,1
TCP,10.1.27.29,66,1
TCP,13.107.3.128,54,1
TCP,13.107.3.128,240,1
TCP,10.1.27.29,60,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,796,1
TCP,13.107.3.128,54,1
TCP,13.107.3.128,147,1
TCP,10.1.27.29,60,1
TCP,10.1.27.29,105,1
TCP,13.107.3.128,634,1
TCP,10.1.27.29,60,1
TCP,10.1.27.29,514,1
TCP,10.1.27.29,66,1
TCP,23.96.208.208,54,1
TCP,23.96.208.208,250,1
TCP,13.107.3.128,54,1
TCP,10.1.27.29,174,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,171,1
TCP,23.96.208.208,54,1
TCP,23.96.208.208,147,1
TCP,162.254.197.41,54,1
TCP,104.16.59.37,112,1
TCP,10.1.27.29,60,1
TCP,10.1.27.29,105,1
TCP,23.96.208.208,757,1
TCP,10.1.27.29,93,1
TCP,104.16.59.37,54,1
TCP,162.254.197.41,138,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,23.96.208.208,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,23.96.208.208,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,23.96.208.208,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1173,1
TCP,23.96.208.208,54,1
TCP,10.1.27.29,60,1
UDP,23.111.8.144,92,1
TCP,10.1.27.29,148,1
TCP,162.254.197.41,54,1
TCP,40.77.226.250,54,1
TCP,10.1.27.29,60,1
TCP,40.77.226.250,54,1
TCP,162.254.197.41,138,1
TCP,10.1.27.29,60,1
TCP,10.1.27.29,148,1
TCP,162.254.197.41,54,1
UDP,8.8.8.8,75,1
UDP,10.1.27.29,365,1
UDP,8.8.8.8,83,1
TCP,172.217.23.46,66,1
TCP,10.1.27.29,66,1
TCP,172.217.23.46,54,1
TCP,172.217.23.46,246,1
TCP,10.1.27.29,60,1
UDP,10.1.27.29,339,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,533,1
TCP,172.217.23.46,54,1
TCP,172.217.23.46,147,1
TCP,172.217.23.46,231,1
TCP,172.217.23.46,1371,1
TCP,10.1.27.29,284,1
TCP,10.1.27.29,123,1
TCP,10.1.27.29,92,1
TCP,172.217.23.46,54,1
TCP,172.217.23.46,92,1
TCP,10.1.27.29,60,1
UDP,10.1.27.255,636,1
TCP,10.1.27.29,624,1
TCP,10.1.27.29,117,1
TCP,10.1.27.29,176,1
TCP,172.217.23.46,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,172.217.23.46,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1415,1
TCP,172.217.23.46,54,1
UDP,8.8.8.8,92,1
UDP,10.1.27.29,137,1
UDP,8.8.8.8,90,1
TCP,172.217.23.46,215,1
TCP,81.23.62.140,66,1
TCP,81.23.62.140,66,1
TCP,172.217.23.46,180,1
TCP,10.1.27.29,66,1
TCP,10.1.27.29,66,1
TCP,81.23.62.140,54,1
TCP,81.23.62.140,54,1
TCP,81.23.62.140,263,1
TCP,81.23.62.140,263,1
TCP,10.1.27.29,297,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,172.217.23.46,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,60,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,386,1
TCP,10.1.27.29,60,1
TCP,10.1.27.29,1456,1
TCP,172.217.23.46,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,957,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,957,1
TCP,81.23.62.140,54,1
TCP,81.23.62.140,54,1
TCP,81.23.62.140,147,1
UDP,10.1.27.29,106,1
UDP,8.8.8.8,90,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1162,1
TCP,172.217.23.46,54,1
TCP,81.23.62.140,147,1
TCP,81.23.62.140,1188,1
TCP,172.217.23.46,100,1
TCP,81.23.62.140,1101,1
UDP,10.1.27.255,636,1
TCP,10.1.27.29,284,1
TCP,10.1.27.29,284,1
UDP,10.1.27.29,147,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,377,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,81.23.62.140,54,1
TCP,81.23.62.140,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,408,1
TCP,81.23.62.140,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,81.23.62.140,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,81.23.62.140,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,81.23.62.140,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,81.23.62.140,54,1
TCP,10.1.27.29,60,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,81.23.62.140,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,81.23.62.140,54,1
TCP,172.217.23.46,247,1
TCP,172.217.23.46,400,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,81.23.62.140,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,81.23.62.140,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,81.23.62.140,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,81.23.62.140,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,60,1
TCP,10.1.27.29,60,1
TCP,81.23.62.140,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,81.23.62.140,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,81.23.62.140,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,81.23.62.140,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,81.23.62.140,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,81.23.62.140,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,81.23.62.140,54,1
UDP,8.8.8.8,92,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,81.23.62.140,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,81.23.62.140,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,81.23.62.140,54,1
TCP,10.1.27.29,1456,1
TCP,81.23.62.140,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,81.23.62.140,54,1
TCP,10.1.27.29,1456,1
TCP,81.23.62.140,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,81.23.62.140,54,1
TCP,10.1.27.29,1456,1
TCP,81.23.62.140,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,81.23.62.140,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,81.23.62.140,54,1
TCP,10.1.27.29,1456,1
TCP,81.23.62.140,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,81.23.62.140,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,81.23.62.140,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,81.23.62.140,54,1
TCP,10.1.27.29,1456,1
TCP,81.23.62.140,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
UDP,10.1.27.29,137,1
TCP,10.1.27.29,1456,1
TCP,81.23.62.140,54,1
TCP,10.1.27.29,1456,1
TCP,81.23.62.140,54,1
UDP,8.8.8.8,90,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,81.23.62.140,54,1
TCP,209.85.230.231,66,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,81.23.62.140,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,81.23.62.140,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,81.23.62.140,54,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
TCP,10.1.27.29,1456,1
